mmT-miR__KEY,d1338_1_counts,d1338_2_counts,d1338_3_counts,d997_1_counts,d997_2_counts,d997_3_counts,mf1_counts,mf2_counts,mf3_counts,wt1_counts,wt2_counts,wt3_counts
mmT-miR-339-5p,1,5,zero,zero,2,zero,557,2931,1109,268,242,61
mmT-miR-340-5p,5,33,8,5,3,6,15054,75321,24647,18003,15820,5234
mmT-miR-3535,605,6896,728,1033,1042,1649,3294,16287,4276,2694,2652,838
mmT-miR-361-3p,334,2265,429,437,369,752,9314,50212,14329,6289,8129,2008
mmT-miR-378a-3p,7,49,11,26,20,26,19733,129747,36092,16595,19549,5147
mmT-miR-378c,7,27,5,15,11,18,5181,34339,9870,2871,3266,922
mmT-miR-423-3p,2,8,1,2,zero,1,9076,36893,12194,3011,3538,901
mmT-miR-467c-5p,1,zero,zero,zero,zero,zero,40,235,85,49,76,38
mmT-miR-500-3p,1,zero,zero,zero,1,zero,150,808,262,104,98,33
mmT-miR-501-3p,1,4,zero,3,2,1,5901,30452,9112,3139,4993,1184
mmT-miR-532-5p,6,44,6,7,12,10,40170,203287,49319,33340,43767,10748
mmT-miR-541-5p,9,39,4,109,92,178,67,327,96,68,111,21
mmT-miR-652-3p,1,7,3,6,5,zero,987,5462,1836,511,795,184
mmT-miR-7054-5p,1,6,zero,zero,zero,1,zero,zero,2,1,2,zero
mmT-miR-744-5p,1,1,zero,zero,1,zero,1227,6125,1933,1125,1150,284
mmT-miR-7a-5p,33,230,36,80,46,115,11084,58977,17033,15888,19325,5913
mmT-miR-92a-3p,11,80,11,6,5,7,895,4441,1453,402,423,110
mmT-miR-98-5p,2,6,1,2,1,4,1387,6345,2557,3180,3674,908
mmT-miR-99a-5p,53,181,42,12,7,26,17919,83812,28948,11621,14097,3925
mmT-miR-99b-3p,5,15,1,zero,2,6,539,2750,723,531,582,196
mmT-miR-99b-5p,17,62,7,11,8,26,20141,108420,28478,18138,18477,4920
mmT-let-7a-1-3p,zero,1,zero,zero,zero,zero,55,292,80,88,59,27
mmT-let-7c-2-3p,zero,1,zero,zero,zero,zero,50,294,101,94,61,20
mmT-let-7d-3p,zero,3,2,zero,3,1,3891,17518,5062,1781,2045,491
mmT-let-7e-5p,zero,6,1,1,2,zero,3435,15694,5292,8152,10206,2634
mmT-let-7f-1-3p,zero,1,zero,zero,zero,zero,16,80,36,7,16,4
mmT-let-7j,zero,7,zero,1,zero,3,61,232,75,123,155,27
mmT-miR-101b-5p,zero,1,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero
mmT-miR-106b-3p,zero,8,1,zero,3,3,2027,12745,3399,853,1193,315
mmT-miR-10b-5p,zero,7,zero,3,1,zero,579,3429,841,357,628,142
mmT-miR-1249-5p,zero,4,zero,zero,zero,zero,2,19,7,5,1,1
mmT-miR-125a-3p,zero,5,zero,zero,zero,1,198,901,255,217,240,79
mmT-miR-128-3p,zero,8,1,3,1,1,700,3728,1056,1031,1030,306
mmT-miR-129-5p,zero,1,zero,zero,zero,zero,28,166,31,79,93,16
mmT-miR-130b-5p,zero,1,zero,zero,zero,zero,128,793,208,82,87,20
mmT-miR-132-3p,zero,1,zero,1,3,4,301,2338,776,908,1042,228
mmT-miR-142a-5p,zero,5,zero,zero,zero,zero,2811,14928,5061,3655,2821,931
mmT-miR-143-3p,zero,1,zero,zero,1,1,112,673,155,150,268,88
mmT-miR-146b-3p,zero,1,zero,zero,zero,1,202,1305,477,187,226,74
mmT-miR-149-5p,zero,1,zero,zero,zero,zero,102,717,212,243,323,63
mmT-miR-150-3p,zero,1,zero,zero,zero,zero,70,317,93,22,40,8
mmT-miR-151-5p,zero,1,zero,zero,1,zero,73,357,137,67,97,27
mmT-miR-15a-3p,zero,1,zero,zero,zero,zero,11,42,13,zero,2,1
mmT-miR-15a-5p,zero,2,1,zero,zero,zero,114,574,209,113,123,36
mmT-miR-16-1-3p,zero,2,2,zero,1,zero,529,2943,782,246,264,80
mmT-miR-181a-2-3p,zero,2,zero,zero,zero,zero,53,261,77,18,29,7
mmT-miR-181b-5p,zero,9,2,1,2,zero,437,2044,788,525,567,157
mmT-miR-181d-5p,zero,1,zero,zero,zero,1,123,717,271,210,248,77
mmT-miR-1843a-5p,zero,2,zero,zero,zero,zero,904,5427,1496,685,809,205
mmT-miR-184-3p,zero,3,zero,zero,1,zero,800,3953,1075,702,851,190
mmT-miR-1943-5p,zero,2,zero,zero,zero,zero,135,569,182,50,67,29
mmT-miR-1964-3p,zero,2,zero,1,zero,zero,1549,6405,1614,578,734,202
mmT-miR-199a-5p,zero,1,zero,zero,zero,zero,46,176,59,40,37,10
mmT-miR-199b-5p,zero,4,zero,1,zero,zero,197,1214,476,265,247,58
mmT-miR-19a-3p,zero,1,zero,zero,zero,zero,33,149,44,29,33,8
mmT-miR-19b-3p,zero,2,zero,zero,1,zero,245,1423,428,193,369,94
mmT-miR-200a-3p,zero,2,zero,1,zero,zero,545,3530,1155,484,595,158
mmT-miR-212-5p,zero,3,zero,1,zero,zero,262,1367,360,601,760,171
mmT-miR-21a-3p,zero,1,zero,zero,1,1,633,2836,1019,588,292,103
mmT-miR-21b,zero,9,1,1,2,zero,4,12,4,zero,4,1
mmT-miR-22-5p,zero,1,zero,1,zero,1,750,3366,1004,748,888,211
mmT-miR-23b-3p,zero,5,zero,1,1,2,1190,7167,2255,976,1116,279
mmT-miR-24-2-5p,zero,3,1,1,zero,zero,3245,18067,5787,3265,3731,1063
mmT-miR-26a-2-3p,zero,1,zero,zero,zero,zero,24,93,33,33,24,5
mmT-miR-26b-3p,zero,1,zero,zero,zero,1,21,96,30,23,21,3
mmT-miR-27a-5p,zero,1,zero,zero,1,1,1333,7016,1828,853,1082,273
mmT-miR-28a-3p,zero,4,2,1,1,1,1740,9163,2477,1793,2360,639
mmT-miR-29b-3p,zero,3,zero,zero,zero,zero,279,1412,431,287,301,125
mmT-miR-29c-3p,zero,1,zero,zero,zero,1,87,454,119,92,73,24
mmT-miR-3068-3p,zero,2,zero,zero,zero,zero,121,846,214,148,159,40
mmT-miR-3068-5p,zero,1,zero,zero,1,zero,229,1391,428,294,272,92
mmT-miR-30a-3p,zero,6,zero,zero,1,zero,292,1712,399,262,315,82
mmT-miR-30c-2-3p,zero,1,zero,zero,zero,zero,144,716,196,97,118,30
mmT-miR-30e-3p,zero,3,zero,1,1,1,983,6126,1651,1162,1334,357
mmT-miR-320-3p,zero,7,1,2,3,2,804,3914,1182,538,716,173
mmT-miR-324-3p,zero,1,zero,zero,zero,zero,18,68,22,6,6,1
mmT-miR-331-3p,zero,1,zero,zero,zero,zero,35,196,58,16,26,5
mmT-miR-339-3p,zero,1,zero,zero,zero,zero,142,627,229,52,73,19
mmT-miR-342-3p,zero,6,1,2,1,7,6957,39837,11273,4291,5161,1165
mmT-miR-34c-5p,zero,4,1,zero,zero,zero,404,2254,718,920,958,253
mmT-miR-350-3p,zero,1,zero,zero,zero,1,290,2385,682,392,384,98
mmT-miR-351-5p,zero,2,zero,1,zero,zero,269,1382,443,167,188,43
mmT-miR-362-3p,zero,2,zero,zero,zero,zero,88,578,274,228,154,58
mmT-miR-362-5p,zero,2,zero,4,zero,zero,174,933,365,177,176,60
