mmT-miR__KEY,d1338_1_counts,d1338_2_counts,d1338_3_counts,d997_1_counts,d997_2_counts,d997_3_counts,mf1_counts,mf2_counts,mf3_counts,wt1_counts,wt2_counts,wt3_counts
mmT-miR-1b-3p,zero,zero,zero,zero,zero,zero,1,7,5,2,4,1
mmT-miR-200a-5p,zero,zero,zero,zero,zero,zero,56,330,75,49,55,7
mmT-miR-200b-3p,zero,zero,zero,zero,zero,zero,315,2386,867,308,453,120
mmT-miR-200b-5p,zero,zero,zero,zero,zero,zero,9,62,19,5,8,2
mmT-miR-203-5p,zero,zero,zero,zero,zero,zero,1,1,2,zero,1,zero
mmT-miR-208b-3p,zero,zero,zero,zero,zero,zero,3,3,2,zero,1,zero
mmT-miR-20b-5p,zero,zero,zero,zero,zero,zero,11,115,43,10,16,7
mmT-miR-210-5p,zero,zero,zero,zero,zero,zero,130,877,270,58,110,31
mmT-miR-211-5p,zero,zero,zero,zero,zero,zero,3,16,5,zero,3,zero
mmT-miR-214-3p,zero,zero,zero,zero,zero,zero,1,9,1,zero,3,zero
mmT-miR-215-5p,zero,zero,zero,zero,zero,zero,3,7,5,2,2,2
mmT-miR-218-5p,zero,zero,zero,zero,zero,zero,5,18,8,8,9,3
mmT-miR-219a-1-3p,zero,zero,zero,zero,zero,zero,17,109,34,16,12,3
mmT-miR-219a-5p,zero,zero,zero,zero,zero,zero,2,3,2,1,zero,1
mmT-miR-219c-5p,zero,zero,zero,zero,zero,zero,2,1,3,zero,zero,zero
mmT-miR-222-5p,zero,zero,zero,zero,zero,zero,15,62,16,17,36,8
mmT-miR-224-5p,zero,zero,zero,zero,zero,zero,10,17,7,1,zero,zero
mmT-miR-23a-5p,zero,zero,zero,zero,zero,zero,6,44,21,7,15,1
mmT-miR-23b-5p,zero,zero,zero,zero,zero,zero,15,36,30,21,20,8
mmT-miR-24-1-5p,zero,zero,zero,zero,zero,zero,28,112,41,24,39,11
mmT-miR-25-5p,zero,zero,zero,zero,zero,zero,6,39,11,2,7,zero
mmT-miR-27b-5p,zero,zero,zero,zero,zero,zero,29,193,46,66,43,12
mmT-miR-28a-5p,zero,zero,zero,zero,zero,zero,327,1583,563,307,409,94
mmT-miR-296-3p,zero,zero,zero,zero,zero,zero,89,522,134,140,176,38
mmT-miR-296-5p,zero,zero,zero,zero,zero,zero,91,542,209,93,101,27
mmT-miR-297a-3p,zero,zero,zero,zero,zero,zero,1,6,4,2,3,zero
mmT-miR-297a-5p,zero,zero,zero,zero,zero,zero,4,9,10,zero,3,1
mmT-miR-297b-5p,zero,zero,zero,zero,zero,zero,6,21,11,5,3,zero
mmT-miR-297c-5p,zero,zero,zero,zero,zero,zero,1,zero,2,zero,zero,zero
mmT-miR-298-5p,zero,zero,zero,zero,zero,zero,117,536,224,117,159,25
mmT-miR-299a-3p,zero,zero,zero,zero,zero,zero,8,46,10,3,5,2
mmT-miR-299b-3p,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero,zero
mmT-miR-29a-5p,zero,zero,zero,zero,zero,zero,7,11,5,3,3,2
mmT-miR-29b-1-5p,zero,zero,zero,zero,zero,zero,6,16,13,2,4,1
mmT-miR-29c-5p,zero,zero,zero,zero,zero,zero,28,109,35,18,17,6
mmT-miR-301a-5p,zero,zero,zero,zero,zero,zero,17,77,21,13,12,3
mmT-miR-301b-3p,zero,zero,zero,zero,zero,zero,1,5,zero,zero,1,1
mmT-miR-3057-3p,zero,zero,zero,zero,zero,zero,1,2,1,zero,zero,zero
mmT-miR-3057-5p,zero,zero,zero,zero,zero,zero,56,145,66,46,55,14
mmT-miR-3058-3p,zero,zero,zero,zero,zero,zero,1,3,zero,zero,zero,zero
mmT-miR-3058-5p,zero,zero,zero,zero,zero,zero,1,3,5,zero,zero,zero
mmT-miR-3060-3p,zero,zero,zero,zero,zero,zero,1,2,3,zero,1,zero
mmT-miR-3061-3p,zero,zero,zero,zero,zero,zero,1,7,zero,2,zero,zero
mmT-miR-3061-5p,zero,zero,zero,zero,zero,zero,3,21,4,3,7,2
mmT-miR-3062-5p,zero,zero,zero,zero,zero,zero,1,1,zero,zero,zero,zero
mmT-miR-3064-5p,zero,zero,zero,zero,zero,zero,7,31,9,12,11,4
mmT-miR-3066-5p,zero,zero,zero,zero,zero,zero,3,17,10,5,4,zero
mmT-miR-3069-3p,zero,zero,zero,zero,zero,zero,1,15,4,6,1,3
mmT-miR-3074-5p,zero,zero,zero,zero,zero,zero,12,164,29,19,24,8
mmT-miR-3079-5p,zero,zero,zero,zero,zero,zero,8,19,1,3,11,2
mmT-miR-3081-3p,zero,zero,zero,zero,zero,zero,2,9,2,1,2,1
mmT-miR-3082-3p,zero,zero,zero,zero,zero,zero,3,10,2,3,zero,zero
mmT-miR-3084-3p,zero,zero,zero,zero,zero,zero,1,12,2,1,2,2
mmT-miR-3084-5p,zero,zero,zero,zero,zero,zero,3,53,17,18,15,6
mmT-miR-3095-3p,zero,zero,zero,zero,zero,zero,66,343,106,40,59,19
mmT-miR-3095-5p,zero,zero,zero,zero,zero,zero,1,3,zero,3,1,zero
mmT-miR-3098-3p,zero,zero,zero,zero,zero,zero,1,2,1,zero,zero,zero
mmT-miR-3098-5p,zero,zero,zero,zero,zero,zero,2,3,zero,zero,1,zero
mmT-miR-30b-3p,zero,zero,zero,zero,zero,zero,247,1334,363,232,323,79
mmT-miR-30c-1-3p,zero,zero,zero,zero,zero,zero,49,263,91,38,56,16
mmT-miR-30d-3p,zero,zero,zero,zero,zero,zero,96,597,211,129,131,39
mmT-miR-3102-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-3109-3p,zero,zero,zero,zero,zero,zero,8,66,13,7,10,zero
mmT-miR-3109-5p,zero,zero,zero,zero,zero,zero,3,3,zero,zero,zero,zero
mmT-miR-31-3p,zero,zero,zero,zero,zero,zero,1,4,zero,4,1,4
mmT-miR-31-5p,zero,zero,zero,zero,zero,zero,19,86,31,15,30,11
mmT-miR-322-3p,zero,zero,zero,zero,zero,zero,127,919,288,189,233,58
mmT-miR-322-5p,zero,zero,zero,zero,zero,zero,84,430,139,104,77,26
mmT-miR-323-3p,zero,zero,zero,zero,zero,zero,4,13,2,1,2,zero
mmT-miR-32-3p,zero,zero,zero,zero,zero,zero,2,25,2,7,6,2
mmT-miR-324-5p,zero,zero,zero,zero,zero,zero,61,283,78,30,22,15
mmT-miR-32-5p,zero,zero,zero,zero,zero,zero,52,372,119,184,112,37
mmT-miR-329-3p,zero,zero,zero,zero,zero,zero,3,24,6,2,5,4
mmT-miR-329-5p,zero,zero,zero,zero,zero,zero,3,2,4,zero,2,zero
mmT-miR-330-5p,zero,zero,zero,zero,zero,zero,61,279,81,54,49,27
mmT-miR-331-5p,zero,zero,zero,zero,zero,zero,12,42,18,11,10,1
mmT-miR-33-3p,zero,zero,zero,zero,zero,zero,1,6,3,2,2,1
mmT-miR-335-3p,zero,zero,zero,zero,zero,zero,3,20,4,6,4,zero
mmT-miR-33-5p,zero,zero,zero,zero,zero,zero,7,29,11,3,2,1
mmT-miR-337-5p,zero,zero,zero,zero,zero,zero,6,27,9,4,8,zero
mmT-miR-338-3p,zero,zero,zero,zero,zero,zero,14,69,20,25,20,5
mmT-miR-338-5p,zero,zero,zero,zero,zero,zero,138,583,216,181,251,51
mmT-miR-340-3p,zero,zero,zero,zero,zero,zero,193,1157,371,322,317,123
mmT-miR-341-3p,zero,zero,zero,zero,zero,zero,7,29,14,zero,4,4
mmT-miR-342-5p,zero,zero,zero,zero,zero,zero,50,235,72,83,100,26
mmT-miR-344-3p,zero,zero,zero,zero,zero,zero,2,5,3,2,3,1
mmT-miR-344d-3p,zero,zero,zero,zero,zero,zero,1,5,1,zero,zero,zero
mmT-miR-344f-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-345-3p,zero,zero,zero,zero,zero,zero,6,18,10,zero,5,zero
mmT-miR-345-5p,zero,zero,zero,zero,zero,zero,1,16,1,2,1,zero
mmT-miR-3470a,zero,zero,zero,zero,zero,zero,10,80,16,17,17,3
mmT-miR-3470b,zero,zero,zero,zero,zero,zero,20,100,35,14,29,zero
mmT-miR-3473a,zero,zero,zero,zero,zero,zero,12,119,32,49,41,13
mmT-miR-3473b,zero,zero,zero,zero,zero,zero,56,331,119,44,47,10
mmT-miR-3473d,zero,zero,zero,zero,zero,zero,7,29,14,8,5,zero
mmT-miR-3473e,zero,zero,zero,zero,zero,zero,57,195,76,23,35,7
mmT-miR-3473h-5p,zero,zero,zero,zero,zero,zero,30,140,35,23,22,1
mmT-miR-3474,zero,zero,zero,zero,zero,zero,8,37,16,5,11,3
mmT-miR-34b-3p,zero,zero,zero,zero,zero,zero,17,78,21,19,26,6
mmT-miR-34b-5p,zero,zero,zero,zero,zero,zero,1,6,1,2,zero,zero
mmT-miR-34c-3p,zero,zero,zero,zero,zero,zero,7,49,11,11,28,7
mmT-miR-351-3p,zero,zero,zero,zero,zero,zero,1,3,zero,zero,zero,zero
mmT-miR-3547-3p,zero,zero,zero,zero,zero,zero,1,3,1,zero,zero,zero
mmT-miR-363-5p,zero,zero,zero,zero,zero,zero,30,106,30,16,27,zero
mmT-miR-365-3p,zero,zero,zero,zero,zero,zero,82,402,137,24,41,12
mmT-miR-369-5p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-370-3p,zero,zero,zero,zero,zero,zero,22,25,10,5,10,6
mmT-miR-374b-5p,zero,zero,zero,zero,zero,zero,587,4074,1287,698,924,238
mmT-miR-376c-5p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-378d,zero,zero,zero,zero,zero,zero,10,35,6,5,6,1
mmT-miR-379-3p,zero,zero,zero,zero,zero,zero,1,1,2,zero,2,1
mmT-miR-379-5p,zero,zero,zero,zero,zero,zero,49,306,59,38,87,15
mmT-miR-381-3p,zero,zero,zero,zero,zero,zero,64,279,93,40,68,19
mmT-miR-3963,zero,zero,zero,zero,zero,zero,17,75,28,6,6,3
mmT-miR-409-3p,zero,zero,zero,zero,zero,zero,21,85,17,13,15,3
mmT-miR-409-5p,zero,zero,zero,zero,zero,zero,8,39,4,2,6,zero
mmT-miR-411-5p,zero,zero,zero,zero,zero,zero,10,31,15,6,10,1
mmT-miR-425-3p,zero,zero,zero,zero,zero,zero,17,117,30,18,20,2
mmT-miR-429-3p,zero,zero,zero,zero,zero,zero,64,248,93,37,41,12
mmT-miR-431-5p,zero,zero,zero,zero,zero,zero,1,4,1,zero,zero,zero
mmT-miR-433-3p,zero,zero,zero,zero,zero,zero,11,29,9,9,6,2
mmT-miR-434-3p,zero,zero,zero,zero,zero,zero,4,21,4,5,1,1
mmT-miR-449a-5p,zero,zero,zero,zero,zero,zero,3,8,10,5,5,1
mmT-miR-450a-5p,zero,zero,zero,zero,zero,zero,228,1101,355,255,208,74
mmT-miR-450b-3p,zero,zero,zero,zero,zero,zero,6,30,11,13,11,1
mmT-miR-450b-5p,zero,zero,zero,zero,zero,zero,62,301,83,50,63,10
mmT-miR-455-3p,zero,zero,zero,zero,zero,zero,29,153,63,8,12,2
mmT-miR-466a-3p,zero,zero,zero,zero,zero,zero,11,80,22,29,32,7
mmT-miR-466b-3p,zero,zero,zero,zero,zero,zero,5,15,8,7,12,2
mmT-miR-466b-5p,zero,zero,zero,zero,zero,zero,3,24,8,4,5,zero
mmT-miR-466c-3p,zero,zero,zero,zero,zero,zero,2,23,5,7,3,4
mmT-miR-466c-5p,zero,zero,zero,zero,zero,zero,37,168,62,50,47,13
mmT-miR-466d-3p,zero,zero,zero,zero,zero,zero,6,27,13,9,9,4
mmT-miR-466e-3p,zero,zero,zero,zero,zero,zero,22,134,41,41,37,17
mmT-miR-466f-3p,zero,zero,zero,zero,zero,zero,4,8,5,1,1,zero
mmT-miR-466f-5p,zero,zero,zero,zero,zero,zero,1,16,1,1,zero,zero
mmT-miR-466g,zero,zero,zero,zero,zero,zero,9,23,8,4,5,2
mmT-miR-466i-3p,zero,zero,zero,zero,zero,zero,26,144,30,22,15,6
mmT-miR-466k,zero,zero,zero,zero,zero,zero,4,32,5,6,7,2
mmT-miR-466m-3p,zero,zero,zero,zero,zero,zero,1,6,1,4,3,1
mmT-miR-466m-5p,zero,zero,zero,zero,zero,zero,1,7,zero,2,2,zero
mmT-miR-466n-3p,zero,zero,zero,zero,zero,zero,1,7,6,zero,1,zero
mmT-miR-466o-5p,zero,zero,zero,zero,zero,zero,2,27,3,6,7,2
mmT-miR-466p-3p,zero,zero,zero,zero,zero,zero,2,25,4,8,3,zero
mmT-miR-467a-3p,zero,zero,zero,zero,zero,zero,14,83,27,29,36,11
mmT-miR-467a-5p,zero,zero,zero,zero,zero,zero,427,2912,845,540,513,176
mmT-miR-467b-5p,zero,zero,zero,zero,zero,zero,44,281,70,15,38,14
mmT-miR-467c-3p,zero,zero,zero,zero,zero,zero,1,8,4,7,8,2
mmT-miR-467d-3p,zero,zero,zero,zero,zero,zero,68,342,72,121,104,22
mmT-miR-467d-5p,zero,zero,zero,zero,zero,zero,4,47,13,16,18,2
mmT-miR-467e-3p,zero,zero,zero,zero,zero,zero,1,10,3,13,2,1
mmT-miR-467e-5p,zero,zero,zero,zero,zero,zero,69,323,118,114,113,29
mmT-miR-467h,zero,zero,zero,zero,zero,zero,1,3,zero,zero,zero,zero
mmT-miR-470-5p,zero,zero,zero,zero,zero,zero,3,1,1,zero,zero,zero
mmT-miR-485-3p,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero,zero
mmT-miR-486a-3p,zero,zero,zero,zero,zero,zero,60,333,109,4,1,2
mmT-miR-486b-3p,zero,zero,zero,zero,zero,zero,3,21,13,1,zero,zero
mmT-miR-495-3p,zero,zero,zero,zero,zero,zero,1,18,6,4,3,zero
mmT-miR-496a-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-497a-5p,zero,zero,zero,zero,zero,zero,2,6,5,6,4,zero
mmT-miR-497b,zero,zero,zero,zero,zero,zero,3,1,3,zero,zero,zero
mmT-miR-499-5p,zero,zero,zero,zero,zero,zero,5,9,4,6,2,1
mmT-miR-501-5p,zero,zero,zero,zero,zero,zero,17,28,13,3,6,5
mmT-miR-503-3p,zero,zero,zero,zero,zero,zero,11,20,4,2,9,zero
mmT-miR-504-5p,zero,zero,zero,zero,zero,zero,6,26,10,3,2,zero
mmT-miR-505-5p,zero,zero,zero,zero,zero,zero,6,40,13,13,15,3
mmT-miR-5100,zero,zero,zero,zero,zero,zero,25,132,37,zero,1,zero
mmT-miR-5104,zero,zero,zero,zero,zero,zero,2,17,1,2,3,zero
mmT-miR-5107-3p,zero,zero,zero,zero,zero,zero,17,61,38,8,6,1
mmT-miR-5107-5p,zero,zero,zero,zero,zero,zero,2,11,6,5,5,zero
mmT-miR-511-3p,zero,zero,zero,zero,zero,zero,31,248,111,44,56,13
mmT-miR-511-5p,zero,zero,zero,zero,zero,zero,3,11,1,1,1,zero
mmT-miR-5116,zero,zero,zero,zero,zero,zero,4,9,6,zero,4,zero
mmT-miR-5121,zero,zero,zero,zero,zero,zero,66,325,123,20,39,3
mmT-miR-5122,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,1,zero
mmT-miR-5126,zero,zero,zero,zero,zero,zero,3,30,4,2,4,1
mmT-miR-5129-5p,zero,zero,zero,zero,zero,zero,7,20,12,6,11,2
mmT-miR-5132-5p,zero,zero,zero,zero,zero,zero,2,zero,3,zero,zero,1
mmT-miR-532-3p,zero,zero,zero,zero,zero,zero,225,1340,380,122,123,31
mmT-miR-542-3p,zero,zero,zero,zero,zero,zero,75,519,125,96,96,31
mmT-miR-542-5p,zero,zero,zero,zero,zero,zero,2,5,7,2,3,zero
mmT-miR-543-3p,zero,zero,zero,zero,zero,zero,4,5,3,2,1,1
mmT-miR-5615-5p,zero,zero,zero,zero,zero,zero,4,6,2,4,3,zero
mmT-miR-5616-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-5620-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-5620-5p,zero,zero,zero,zero,zero,zero,11,63,5,5,6,1
mmT-miR-5621-3p,zero,zero,zero,zero,zero,zero,2,2,zero,zero,zero,zero
mmT-miR-5627-5p,zero,zero,zero,zero,zero,zero,2,4,zero,2,2,zero
mmT-miR-574-3p,zero,zero,zero,zero,zero,zero,638,3482,1014,518,562,142
mmT-miR-582-3p,zero,zero,zero,zero,zero,zero,2,50,17,11,12,2
mmT-miR-598-3p,zero,zero,zero,zero,zero,zero,8,56,23,14,3,4
mmT-miR-615-3p,zero,zero,zero,zero,zero,zero,8,25,14,1,zero,zero
mmT-miR-6418-3p,zero,zero,zero,zero,zero,zero,3,13,8,5,1,zero
mmT-miR-6516-5p,zero,zero,zero,zero,zero,zero,8,61,24,18,17,6
mmT-miR-652-5p,zero,zero,zero,zero,zero,zero,18,121,31,11,17,3
mmT-miR-6537-3p,zero,zero,zero,zero,zero,zero,16,87,13,11,14,2
mmT-miR-6538,zero,zero,zero,zero,zero,zero,42,257,57,57,61,12
mmT-miR-6539,zero,zero,zero,zero,zero,zero,2,11,3,zero,1,zero
mmT-miR-6546-5p,zero,zero,zero,zero,zero,zero,3,zero,1,zero,1,zero
mmT-miR-669a-3-3p,zero,zero,zero,zero,zero,zero,1,5,5,10,zero,1
mmT-miR-669a-3p,zero,zero,zero,zero,zero,zero,67,340,89,117,106,25
mmT-miR-669a-5p,zero,zero,zero,zero,zero,zero,123,632,188,142,188,42
mmT-miR-669b-3p,zero,zero,zero,zero,zero,zero,1,6,1,4,6,4
mmT-miR-669b-5p,zero,zero,zero,zero,zero,zero,4,16,6,3,3,1
mmT-miR-669d-5p,zero,zero,zero,zero,zero,zero,9,40,15,2,4,3
mmT-miR-669e-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-669e-5p,zero,zero,zero,zero,zero,zero,2,5,zero,3,5,zero
mmT-miR-669f-3p,zero,zero,zero,zero,zero,zero,4,33,11,14,13,2
mmT-miR-669f-5p,zero,zero,zero,zero,zero,zero,7,16,11,9,11,3
mmT-miR-669l-5p,zero,zero,zero,zero,zero,zero,18,91,28,21,26,7
mmT-miR-669o-3p,zero,zero,zero,zero,zero,zero,66,348,82,126,119,32
mmT-miR-669o-5p,zero,zero,zero,zero,zero,zero,15,111,41,44,50,18
mmT-miR-671-3p,zero,zero,zero,zero,zero,zero,131,642,161,65,77,25
mmT-miR-671-5p,zero,zero,zero,zero,zero,zero,4,29,10,3,1,1
mmT-miR-673-5p,zero,zero,zero,zero,zero,zero,2,1,1,zero,1,zero
mmT-miR-676-3p,zero,zero,zero,zero,zero,zero,5,11,8,2,1,zero
mmT-miR-676-5p,zero,zero,zero,zero,zero,zero,5,40,1,1,zero,zero
mmT-miR-677-5p,zero,zero,zero,zero,zero,zero,5,11,6,4,zero,zero
mmT-miR-6899-3p,zero,zero,zero,zero,zero,zero,10,48,8,11,9,3
mmT-miR-690,zero,zero,zero,zero,zero,zero,37,220,76,37,66,11
mmT-miR-6903-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-6905-5p,zero,zero,zero,zero,zero,zero,1,1,1,zero,zero,zero
mmT-miR-6909-5p,zero,zero,zero,zero,zero,zero,1,3,zero,zero,1,zero
mmT-miR-6911-3p,zero,zero,zero,zero,zero,zero,5,24,2,3,2,2
mmT-miR-6911-5p,zero,zero,zero,zero,zero,zero,2,4,zero,zero,zero,zero
mmT-miR-6913-3p,zero,zero,zero,zero,zero,zero,1,1,1,zero,3,zero
mmT-miR-6916-3p,zero,zero,zero,zero,zero,zero,1,6,1,zero,1,zero
mmT-miR-6927-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-6932-3p,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero,zero
mmT-miR-6933-5p,zero,zero,zero,zero,zero,zero,42,209,60,37,43,10
mmT-miR-6936-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-6937-5p,zero,zero,zero,zero,zero,zero,1,zero,1,1,1,zero
mmT-miR-6943-3p,zero,zero,zero,zero,zero,zero,2,1,2,zero,zero,zero
mmT-miR-6944-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-6945-3p,zero,zero,zero,zero,zero,zero,2,20,3,1,3,zero
mmT-miR-6948-3p,zero,zero,zero,zero,zero,zero,1,3,zero,1,1,zero
mmT-miR-6948-5p,zero,zero,zero,zero,zero,zero,3,13,5,1,zero,zero
mmT-miR-6952-3p,zero,zero,zero,zero,zero,zero,4,12,4,5,1,zero
mmT-miR-6952-5p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-6953-5p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-6954-3p,zero,zero,zero,zero,zero,zero,3,zero,5,zero,zero,zero
mmT-miR-6955-5p,zero,zero,zero,zero,zero,zero,12,57,14,zero,10,1
mmT-miR-6956-3p,zero,zero,zero,zero,zero,zero,1,5,1,2,zero,zero
mmT-miR-6956-5p,zero,zero,zero,zero,zero,zero,1,7,zero,zero,2,zero
mmT-miR-6959-5p,zero,zero,zero,zero,zero,zero,2,1,1,1,zero,zero
mmT-miR-6960-5p,zero,zero,zero,zero,zero,zero,1,3,2,zero,zero,zero
mmT-miR-6963-3p,zero,zero,zero,zero,zero,zero,1,6,1,zero,zero,zero
mmT-miR-6963-5p,zero,zero,zero,zero,zero,zero,1,2,zero,zero,2,zero
mmT-miR-6966-3p,zero,zero,zero,zero,zero,zero,1,3,zero,2,zero,zero
mmT-miR-6967-5p,zero,zero,zero,zero,zero,zero,3,6,zero,zero,zero,zero
mmT-miR-6970-3p,zero,zero,zero,zero,zero,zero,1,9,2,zero,zero,zero
mmT-miR-6972-3p,zero,zero,zero,zero,zero,zero,10,47,10,zero,5,1
mmT-miR-6978-3p,zero,zero,zero,zero,zero,zero,3,19,4,3,1,zero
mmT-miR-6979-3p,zero,zero,zero,zero,zero,zero,3,7,1,zero,1,zero
mmT-miR-6986-5p,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero,zero
mmT-miR-6988-3p,zero,zero,zero,zero,zero,zero,2,27,8,zero,2,zero
mmT-miR-6989-3p,zero,zero,zero,zero,zero,zero,2,zero,1,zero,zero,2
mmT-miR-6994-3p,zero,zero,zero,zero,zero,zero,2,7,zero,2,zero,zero
mmT-miR-6997-5p,zero,zero,zero,zero,zero,zero,1,2,1,zero,3,zero
mmT-miR-7001-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-700-3p,zero,zero,zero,zero,zero,zero,46,279,78,29,25,13
mmT-miR-700-5p,zero,zero,zero,zero,zero,zero,18,93,18,17,17,3
mmT-miR-7007-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-7009-5p,zero,zero,zero,zero,zero,zero,1,6,1,zero,5,zero
mmT-miR-7012-3p,zero,zero,zero,zero,zero,zero,1,6,zero,zero,zero,zero
mmT-miR-7012-5p,zero,zero,zero,zero,zero,zero,7,19,3,4,1,zero
mmT-miR-7013-3p,zero,zero,zero,zero,zero,zero,2,18,3,1,zero,zero
mmT-miR-7014-5p,zero,zero,zero,zero,zero,zero,2,zero,1,zero,1,zero
mmT-miR-7015-3p,zero,zero,zero,zero,zero,zero,19,101,31,10,8,2
mmT-miR-7019-3p,zero,zero,zero,zero,zero,zero,4,8,2,zero,zero,zero
mmT-miR-7020-5p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-7021-3p,zero,zero,zero,zero,zero,zero,4,zero,zero,1,zero,zero
mmT-miR-7021-5p,zero,zero,zero,zero,zero,zero,1,7,2,1,zero,zero
mmT-miR-702-3p,zero,zero,zero,zero,zero,zero,11,23,14,2,4,zero
mmT-miR-702-5p,zero,zero,zero,zero,zero,zero,1,2,zero,1,zero,zero
mmT-miR-7029-3p,zero,zero,zero,zero,zero,zero,2,2,zero,zero,zero,zero
mmT-miR-7030-3p,zero,zero,zero,zero,zero,zero,1,4,1,zero,zero,zero
mmT-miR-7032-3p,zero,zero,zero,zero,zero,zero,1,zero,1,zero,zero,zero
mmT-miR-7033-5p,zero,zero,zero,zero,zero,zero,44,172,78,22,26,1
mmT-miR-7035-3p,zero,zero,zero,zero,zero,zero,2,3,2,zero,2,zero
mmT-miR-7036b-5p,zero,zero,zero,zero,zero,zero,2,10,7,1,3,zero
mmT-miR-704,zero,zero,zero,zero,zero,zero,8,50,6,5,5,zero
mmT-miR-7043-5p,zero,zero,zero,zero,zero,zero,10,21,9,2,6,zero
mmT-miR-7047-3p,zero,zero,zero,zero,zero,zero,2,20,7,zero,1,1
mmT-miR-7049-5p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-7059-5p,zero,zero,zero,zero,zero,zero,6,35,15,6,11,3
mmT-miR-7062-5p,zero,zero,zero,zero,zero,zero,5,10,13,10,11,1
mmT-miR-7068-3p,zero,zero,zero,zero,zero,zero,1,6,3,1,1,zero
mmT-miR-7071-5p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-7083-5p,zero,zero,zero,zero,zero,zero,3,14,1,2,zero,zero
mmT-miR-708-5p,zero,zero,zero,zero,zero,zero,13,57,14,16,19,6
mmT-miR-7086-3p,zero,zero,zero,zero,zero,zero,2,9,2,2,zero,zero
mmT-miR-7087-5p,zero,zero,zero,zero,zero,zero,1,3,2,zero,1,zero
mmT-miR-7089-3p,zero,zero,zero,zero,zero,zero,1,zero,1,zero,zero,zero
mmT-miR-709,zero,zero,zero,zero,zero,zero,5,12,4,3,4,zero
mmT-miR-7091-5p,zero,zero,zero,zero,zero,zero,7,46,18,6,7,2
mmT-miR-7115-5p,zero,zero,zero,zero,zero,zero,14,79,30,14,13,3
mmT-miR-7116-3p,zero,zero,zero,zero,zero,zero,2,2,zero,zero,zero,zero
mmT-miR-7118-3p,zero,zero,zero,zero,zero,zero,5,19,5,zero,zero,zero
mmT-miR-712-5p,zero,zero,zero,zero,zero,zero,2,5,3,1,1,1
mmT-miR-7219-3p,zero,zero,zero,zero,zero,zero,43,274,87,62,60,9
mmT-miR-7235-3p,zero,zero,zero,zero,zero,zero,2,4,2,zero,2,zero
mmT-miR-744-3p,zero,zero,zero,zero,zero,zero,1,21,5,6,7,1
mmT-miR-7646-5p,zero,zero,zero,zero,zero,zero,2,11,5,1,1,1
mmT-miR-7647-5p,zero,zero,zero,zero,zero,zero,1,1,zero,1,1,zero
mmT-miR-7649-3p,zero,zero,zero,zero,zero,zero,19,131,47,21,23,5
mmT-miR-7651-5p,zero,zero,zero,zero,zero,zero,1,5,zero,zero,zero,zero
mmT-miR-7652-3p,zero,zero,zero,zero,zero,zero,3,zero,3,3,1,zero
mmT-miR-7655-3p,zero,zero,zero,zero,zero,zero,1,5,zero,1,2,zero
mmT-miR-7656-3p,zero,zero,zero,zero,zero,zero,2,1,zero,zero,zero,zero
mmT-miR-7656-5p,zero,zero,zero,zero,zero,zero,2,5,1,zero,3,zero
mmT-miR-7657-5p,zero,zero,zero,zero,zero,zero,1,3,zero,1,zero,zero
mmT-miR-7661-3p,zero,zero,zero,zero,zero,zero,5,21,7,5,1,zero
mmT-miR-7667-3p,zero,zero,zero,zero,zero,zero,1,6,5,7,2,zero
mmT-miR-7670-3p,zero,zero,zero,zero,zero,zero,4,33,9,7,5,zero
mmT-miR-7673-5p,zero,zero,zero,zero,zero,zero,5,15,6,4,zero,zero
